epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.364,1.45346,3.48112,1.10652,0.43073,0.70889,0.51795,0.33938,1.23791,1.5542,1.0269,0.00333208,0.00333208,0.00333208
2,756.777,1.34376,1.85841,1.09749,0.9356,0.94605,0.98498,0.67775,1.14203,0.74826,1.00478,0.00659942,0.00659942,0.00659942
3,1118.95,1.33234,1.34516,1.10678,0.97729,0.9787,0.99208,0.6668,1.21276,0.63638,1.04686,0.00980077,0.00980077,0.00980077
4,1469,1.31619,1.07017,1.11599,0.98785,0.99266,0.99403,0.7251,1.04423,0.51168,1.00056,0.009703,0.009703,0.009703
5,1814.46,1.28317,0.86931,1.10426,0.99424,0.99568,0.99474,0.71324,1.08628,0.46684,1.00812,0.009604,0.009604,0.009604
6,2160.49,1.2612,0.78183,1.09368,0.99717,0.99766,0.99483,0.71466,1.08898,0.43827,1.00736,0.009505,0.009505,0.009505
7,2506.53,1.24373,0.73075,1.08643,0.99681,0.99872,0.99492,0.71742,1.08598,0.42558,1.00228,0.009406,0.009406,0.009406
8,2857.36,1.23092,0.69485,1.08104,0.99793,0.99857,0.99493,0.74674,1.00058,0.39915,0.97367,0.009307,0.009307,0.009307
9,3204.26,1.22238,0.67385,1.07293,0.9978,0.99902,0.99475,0.76274,0.9439,0.37634,0.95797,0.009208,0.009208,0.009208
10,3550.53,1.21355,0.65136,1.06768,0.99844,0.99942,0.99495,0.7678,0.92334,0.3693,0.94618,0.009109,0.009109,0.009109
11,3897.25,1.21097,0.63921,1.06485,0.99844,0.99971,0.995,0.76732,0.94293,0.36699,0.95098,0.00901,0.00901,0.00901
12,4243.34,1.20296,0.62484,1.06197,0.99835,0.99888,0.99498,0.78271,0.89057,0.35405,0.93661,0.008911,0.008911,0.008911
